AAPL
MSFT
2222.SR
GOOG
AMZN
NVDA
META
BRK-B
TSLA
LLY
UNH
V
TSM
XOM
NVO
WMT
JPM
MC.PA
JNJ
MA
AVGO
TCEHY
PG
005930.KS
CVX
NESN.SW
HD
600519.SS
ORCL
MRK
ABBV
ADBE
COST
IHC.AE
TM
KO
ASML
SHEL
PEP
OR.PA
1398.HK
CSCO
ROG.SW
BAC
BABA
AZN
CRM
NVS
MCD
RELIANCE.NS
ACN
RMS.PA
601857.SS
0941.HK
TMO
LIN
NFLX
CMCSA
PFE
601288.SS
ABT
AMD
TMUS
TTE
NKE
TCS.NS
SAP
DHR
DIS
AMGN
COP
HSBC
601939.SS
WFC
INTC
HDB
601988.SS
PM
INTU
BHP
PDD
TXN
SNY
VZ
CDI.PA
UPS
UNP
CAT
IBM
QCOM
MS
UL
HON
PRX.AS
BMY
GE
BP
RY
AMAT
LMT
SPGI
NOW
IDEXY
T
LOW
300750.SZ
601628.SS
BA
DE
SBUX
ELV
601318.SS
CBA.AX
SIE.DE
RTX
BUD
PBR
DTE.DE
NEE
3968.HK
TD
AXP
SONY
AIR.PA
TJX
SYK
EQNR
ADP
GS
BKNG
RIO
1299.HK
MUFG
NPPXF
GILD
MDT
PLD
002594.SZ
ISRG
VRTX
TAQA.AE
MMC
SCHW
ALV.DE
BLK
CI
PGR
SU.PA
CVS
6861.T
UBER
REGN
MDLZ
600028.SS
3690.HK
CB
DEO
P911.DE
0883.HK
AI.PA
ADI
SLB
601088.SS
LRCX
IBN
UBS
EL.PA
EOG
ETN
ZTS
CME
C
000858.SZ
MO
373220.KS
BDX
PANW
GSK
600900.SS
AMT
ABNB
ATVI
MU
NOC
BSX
SO
CNQ
CSL.AX
SNPS
BBCA.JK
INFY
HINDUNILVR.NS
BNP.PA
CNI
1120.SR
MBG.DE
0728.HK
9983.T
IBE.MC
BX
MRK.DE
BTI
ENB
ITW
FI
DUK
BHARTIARTL.NS
ZURN.SW
CP
ADNOCGAS.AE
EQIX
000660.KS
ITC.NS
GLCNF
SHOP
HCA
RELX
VMW
CFR.SW
8058.T
NTES
CDNS
HUM
BMW.DE
CHTR
CS.PA
GD
AON
SAF.PA
WM
SMFG
2010.SR
601658.SS
KLAC
8035.T
9433.T
D05.SI
APD
CSX
ICE
9633.HK
KKR
9984.T
SHW
MCK
HDFC.NS
DG.PA
CL
FDX
SBIN.NS
MPC
ENEL.MI
ATCO-B.ST
EPD
ABBN.SW
SAN
PYPL
MELI
PXD
BAJFINANCE.NS
STLA
VOW3.DE
WMMVF
OXY
ANET
4063.T
MCO
NAB.AX
MAR
6501.T
VALE
8031.T
RACE
BMO
TRI
AMX
WDAY
INVE-B.ST
ORLY
SHL.DE
KER.PA
SCCO
LSEG.L
OMZZP.ME
E
HMC
MUV2.DE
601328.SS
4568.T
MNST
ITUB
EMR
ATD.TO
8001.T
ROP
000333.SZ
RKT.L
CTAS
PSX
CMG
1180.SR
BN
TGT
LULU
4661.T
HES
HEIA.AS
4519.T
BNS
LT.NS
APO
EL
ARM
AJG
BBRI.JK
SNOW
FCX
TEAM
LICI.NS
7010.SR
USB
ALPHADHABI.AE
PH
ANZ.AX
NXPI
MMM
DELL
APH
7974.T
BBVA
MSI
6098.T
DSY.PA
DHL.DE
ISP.MI
UMG.AS
F
VLO
6902.T
WBC.AX
0388.HK
AFL
RSG
NSC
ECL
TAK
ING
TDG
MET
601166.SS
QNBFB.IS
PNC
EAND.AE
AZO
2317.TW
PSA
FTNT
8766.T
SU
ET
601138.SS
RI.PA
CSU.TO
BAYZF
WELL
NGG
ADSK
WDS
SRE
6367.T
ODFL
TT
300760.SZ
MFG
XIACF
CRWD
MRVL
PCAR
WMB
AIG
BYAN.JK
STZ
CPG.L
KOTAKBANK.NS
EW
PAYX
O39.SI
CPRT
002415.SZ
FMG.AX
KMB
LNG
601899.SS
VOLVF
600030.SS
MCHP
CCI
HCLTECH.NS
UCG.MI
GM
2454.TW
2914.T
SGEN
CARR
IFX.DE
ABEV
PCG
KDP
SPG
000568.SZ
MQG.AX
OKE
QNBK.QA
CVE
ROST
EXC
FAB.AE
ADM
HSY
BA.L
MARUTI.NS
CNC
CRH
1211.SR
NU
MSCI
600276.SS
HLT
KHC
BAS.DE
JD
BSBR
NDA-FI.HE
HLN
BIDU
KMI
HAL
KVUE
AEP
SIKA.SW
ENGI.PA
BIIB
207940.KS
STM
TEL
TRV
WES.AX
GIS
ON
600309.SS
BN.PA
AXISBANK.BO
TTD
MPLX
TFC
ABC
CEG
FMX
ACA.PA
DLR
ASIANPAINT.NS
ALC
CTVA
IDXX
BKR
UN01.DE
NUE
WCN
TITAN.NS
AAL.L
O
IMO
HOLN.SW
PLTR
LVS
GWW
EA
DOW
BMRI.JK
COF
7741.T
2359.HK
KFH.KW
DHI
VRSK
U11.SI
TRP
IQV
BCE
601601.SS
YUM
DD
D
IBKR
GMBXF
LHX
601998.SS
CTSH
6981.T
JCI
2020.HK
DSV.VI
SYY
SUNPHARMA.NS
FAST
PRU
LYG
ADANIENT.NS
CM
AME
300059.SZ
BK
ALL
7182.T
VEEV
KNIN.SW
XEL
AMP
LI
A
OTIS
HYMTF
FERG
ADS.DE
MFC
KR
CPNG
1024.HK
BAJAJFINSV.NS
ARES
CMI
DVN
ACGL
0981.HK
NEM
3382.T
G.MI
MRNA
ROK
ORAN
DB1.DE
WKL.AS
EXPGF
SCMN.SW
6273.T
0016.HK
CSGP
HO.PA
SREN.SW
